"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2017-05-19",172.300003,172.949997,170.25,172.589996,3877300,161.167542
"2017-05-22",172.729996,174.899994,172.600006,174.699997,3480300,163.137894
"2017-05-23",174.440002,175.520004,173.710007,175.220001,2471500,163.623444
"2017-05-24",175.449997,176.100006,174.520004,175.589996,1612300,163.968964
"2017-05-25",176.320007,178.729996,175.940002,178.050003,3212200,166.266174
"2017-05-26",177.679993,178.889999,177,177.5,1583600,165.752548
"2017-05-30",177.539993,178.080002,176.240005,176.589996,2285700,164.902817
"2017-05-31",176.889999,176.899994,174.919998,175.179993,3320400,163.58609
"2017-06-01",175.779999,179.580002,175.190002,179.580002,2890600,167.694931
"2017-06-02",179.919998,179.919998,178.339996,179.389999,2610100,167.517502
"2017-06-05",179.529999,180.320007,179.160004,179.369995,2640600,167.49881
"2017-06-06",179.190002,181.059998,178.479996,180.820007,3443900,168.852859
"2017-06-07",182,183.470001,179.649994,183.210007,3783600,171.084656
"2017-06-08",183.210007,183.759995,180.979996,181.690002,3079900,169.665253
"2017-06-09",181.839996,182.399994,180.860001,181.460007,2392200,169.450485
"2017-06-12",181.460007,181.820007,176.419998,179.25,3705600,167.386765
"2017-06-13",179.210007,181.389999,179.149994,181.050003,2458500,169.067596
"2017-06-14",180.940002,182.839996,180.940002,182.360001,2039300,170.290924
"2017-06-15",181.75,183.5,180.089996,180.380005,3078700,169.137604
"2017-06-16",180.830002,182.460007,180.380005,181.630005,4473300,170.309662
"2017-06-19",182.300003,183.020004,180.759995,183.020004,3887100,171.613037
"2017-06-20",182.75,183.419998,182.220001,183.270004,2742600,171.847427
"2017-06-21",183.490005,185.110001,182.710007,184.919998,2866300,173.394623
"2017-06-22",184.899994,188.660004,184.779999,186.5,3841300,174.876129
"2017-06-23",186.270004,186.270004,184.139999,185.25,3438500,173.704071
"2017-06-26",185.130005,185.889999,183.389999,185.119995,2327400,173.582153
"2017-06-27",185.720001,186.800003,184.220001,184.600006,2682800,173.094574
"2017-06-28",185.679993,186.309998,185.089996,185.699997,2451200,174.125977
"2017-06-29",185.820007,186.089996,184.330002,185.270004,2193600,173.722778
